number,name,status
1,PEP Purpose and Guidelines,
11,CPython platform support,
20,The Zen of Python,
7,Style Guide for C Code,
9,Sample Plaintext PEP Template,
8,Style Guide for Python Code,
13,Python Language Governance,
10,Voting Guidelines,
12,Sample reStructuredText PEP Template,
6,Bug Fix Releases,
3,Guidelines for Handling Bug Reports,
205,Weak References,
2,Procedure for Adding New Modules,
4,Deprecation of Standard Modules,
5,Guidelines for Language Evolution,
206,Python Advanced Library,
8104,2023 Term Steering Council election,
8103,2022 Term Steering Council election,
8102,2021 Term Steering Council election,
8100,January 2019 Steering Council election,
8015,Organization of the Python community,
8014,The Commons Governance Model,
8101,2020 Term Steering Council election,
8013,The External Council Governance Model,
8016,The Steering Council Model,
8012,The Community Governance Model,
8011,Python Governance Model Lead by Trio of Pythonistas,
3333,Python Web Server Gateway Interface v1.0.1,
8002,Open Source Governance Survey,
8010,The Technical Leader Governance Model,
8000,Python Language Governance Proposal Overview,
8001,Python Governance Voting Process,
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
3155,Qualified name for classes and functions,
3152,Cofunctions,
3153,Asynchronous IO support,
3154,Pickle protocol version 4,
3148,futures - execute computations asynchronously,
3149,ABI version tagged .so files,
3150,Statement local namespaces (aka “given” clause),
3151,Reworking the OS and IO exception hierarchy,
3147,PYC Repository Directories,
3145,Asynchronous I/O For subprocess.Popen,
3146,Merging Unladen Swallow into CPython,
3144,IP Address Manipulation Library for the Python Standard Library,
3141,A Type Hierarchy for Numbers,
3143,Standard daemon process library,
3142,Add a “while” clause to generator expressions,
3140,"str(container) should call str(item), not repr(item)",
3139,Cleaning out sys and the “interpreter” module,
3138,String representation in Python 3000,
3137,Immutable Bytes and Mutable Buffer,
3136,Labeled break and continue,
3135,New Super,
3134,Exception Chaining and Embedded Tracebacks,
3133,Introducing Roles,
3132,Extended Iterable Unpacking,
3130,Access to Current Module/Class/Function,
3131,Supporting Non-ASCII Identifiers,
3129,Class Decorators,
3127,Integer Literal Support and Syntax,
3126,Remove Implicit String Concatenation,
3128,BList: A Faster List-like Type,
3125,Remove Backslash Continuation,
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
3123,Making PyObject_HEAD conform to standard C,
3121,Extension Module Initialization and Finalization,
3122,Delineation of the main module,
3120,Using UTF-8 as the default source encoding,
3117,Postfix type declarations,
3119,Introducing Abstract Base Classes,
3118,Revising the buffer protocol,
3116,New I/O,
3114,Renaming iterator.next() to iterator.__next__(),
3115,Metaclasses in Python 3000,
3113,Removal of Tuple Parameter Unpacking,
3111,Simple input built-in in Python 3000,
3110,Catching Exceptions in Python 3000,
3112,Bytes literals in Python 3000,
3109,Raising Exceptions in Python 3000,
3108,Standard Library Reorganization,
3107,Function Annotations,
3106,"Revamping dict.keys(), .values() and .items()",
3105,Make print a function,
3102,Keyword-Only Arguments,
3104,Access to Names in Outer Scopes,
3100,Miscellaneous Python 3.0 Plans,
3101,Advanced String Formatting,
3103,A Switch/Case Statement,
3099,Things that will Not Change in Python 3000,
3003,Python Language Moratorium,
3000,Python 3000,
801,Reserved,
3002,Procedure for Backwards-Incompatible Changes,
3001,Procedure for reviewing and improving standard library modules,
754,IEEE 754 Floating Point Special Values,
711,PyBI: a standard format for distributing Python Binaries,
710,Recording the provenance of installed packages,
709,Inlined comprehensions,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
706,Filter for tarfile.extractall,
707,A simplified signature for __exit__ and __aexit__,
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
702,Marking deprecations using the type system,
703,Making the Global Interpreter Lock Optional in CPython,
701,Syntactic formalization of f-strings,
704,Require virtual environments by default for package installers,
700,Additional Fields for the Simple API for Package Indexes,
699,Remove private dict version field added in PEP 509,
698,Override Decorator for Static Typing,
697,Limited C API for Extending Opaque Types,
696,Type defaults for TypeVarLikes,
695,Type Parameter Syntax,
694,Upload 2.0 API for Python Package Repositories,
693,Python 3.12 Release Schedule,
692,Using TypedDict for more precise **kwargs typing,
690,Lazy Imports,
691,JSON-based Simple API for Python Package Indexes,
689,Unstable C API tier,
688,Making the buffer protocol accessible in Python,
686,Make UTF-8 mode default,
685,Comparison of extra names for optional distribution dependencies,
687,Isolating modules in the standard library,
684,A Per-Interpreter GIL,
683,"Immortal Objects, Using a Fixed Refcount",
682,Format Specifier for Signed Zero,
680,tomllib: Support for Parsing TOML in the Standard Library,
681,Data Class Transforms,
679,Allow parentheses in assert statements,
678,Enriching Exceptions with Notes,
677,Callable Type Syntax,
676,PEP Infrastructure Process,
674,Disallow using macros as l-values,
675,Arbitrary Literal String Type,
673,Self Type,
672,Unicode-related Security Considerations for Python,
671,Syntax for late-bound function argument defaults,
664,Python 3.11 Release Schedule,
667,Consistent views of namespaces,
668,Marking Python base environments as “externally managed”,
669,Low Impact Monitoring for CPython,
670,Convert macros to functions in the Python C API,
666,Reject Foolish Indentation,
665,A file format to list Python dependencies for reproducibility of an application,
663,"Standardizing Enum str(), repr(), and format() behaviors",
661,Sentinel Values,
662,Editable installs via virtual wheels,
659,Specializing Adaptive Interpreter,
660,Editable installs for pyproject.toml based builds (wheel based),
658,Serve Distribution Metadata in the Simple Repository API,
657,Include Fine Grained Error Locations in Tracebacks,
656,Platform Tag for Linux Distributions Using Musl,
654,Exception Groups and except*,
655,Marking individual TypedDict items as required or potentially-missing,
653,Precise Semantics for Pattern Matching,
652,Maintaining the Stable ABI,
651,Robust Stack Overflow Handling,
650,Specifying Installer Requirements for Python Projects,
649,Deferred Evaluation Of Annotations Using Descriptors,
648,Extensible customizations of the interpreter at startup,
647,User-Defined Type Guards,
646,Variadic Generics,
644,Require OpenSSL 1.1.1 or newer,
645,Allow writing optional types as ,
643,Metadata for Package Source Distributions,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
640,Unused variable syntax,
639,Improving License Clarity with Better Package Metadata,
642,Explicit Pattern Syntax for Structural Pattern Matching,
638,Syntactic Macros,
636,Structural Pattern Matching: Tutorial,
637,Support for indexing with keyword arguments,
635,Structural Pattern Matching: Motivation and Rationale,
633,Dependency specification in pyproject.toml using an exploded TOML table,
634,Structural Pattern Matching: Specification,
632,Deprecate distutils module,
631,Dependency specification in pyproject.toml based on PEP 508,
630,Isolating Extension Modules,
629,Versioning PyPI’s Simple API,
628,Add ,
627,Recording installed projects,
626,Precise line numbers for debugging and other tools.,
625,Filename of a Source Distribution,
623,Remove wstr from Unicode,
621,Storing project metadata in pyproject.toml,
624,Remove Py_UNICODE encoder APIs,
620,Hide implementation details from the C API,
619,Python 3.10 Release Schedule,
622,Structural Pattern Matching,
618,Add Optional Length-Checking To zip,
617,New PEG parser for CPython,
616,String methods to remove prefixes and suffixes,
615,Support for the IANA Time Zone Database in the Standard Library,
614,Relaxing Grammar Restrictions On Decorators,
613,Explicit Type Aliases,
612,Parameter Specification Variables,
611,The one million limit,
610,Recording the Direct URL Origin of installed distributions,
609,Python Packaging Authority (PyPA) Governance,
607,Reducing CPython’s Feature Delivery Latency,
608,Coordinated Python release,
606,Python Compatibility Version,
603,Adding a frozenmap type to collections,
604,Allow writing union types as ,
605,A rolling feature release stream for CPython,
602,Annual Release Cycle for Python,
601,Forbid return/break/continue breaking out of finally,
599,The manylinux2014 Platform Tag,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
598,Introducing incremental feature releases,
594,Removing dead batteries from the standard library,
595,Improving bugs.python.org,
596,Python 3.9 Release Schedule,
597,Add optional EncodingWarning,
588,GitHub Issues Migration Plan,
590,Vectorcall: a fast calling protocol for CPython,
591,Adding a final qualifier to typing,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
587,Python Initialization Configuration,
592,Adding “Yank” Support to the Simple API,
593,Flexible function and variable annotations,
584,Add Union Operators To dict,
585,Type Hinting Generics In Standard Collections,
583,A Concurrency Memory Model for Python,
586,Literal Types,
582,Python local packages directory,
578,Python Runtime Audit Hooks,
580,The C call protocol,
581,Using GitHub Issues for CPython,
579,Refactoring C functions and methods,
576,Rationalize Built-in function classes,
577,Augmented Assignment Expressions,
574,Pickle protocol 5 with out-of-band data,
571,The manylinux2010 Platform Tag,
575,Unifying function/method classes,
572,Assignment Expressions,
573,Module State Access from C Extension Methods,
569,Python 3.8 Release Schedule,
570,Python Positional-Only Parameters,
568,Generator-sensitivity for Context Variables,
567,Context Variables,
566,Metadata for Python Software Packages 2.1,
565,Show DeprecationWarning in __main__,
564,Add new time functions with nanosecond resolution,
563,Postponed Evaluation of Annotations,
562,Module __getattr__ and __dir__,
561,Distributing and Packaging Type Information,
560,Core support for typing module and generic types,
559,Built-in noop(),
555,Context-local variables (contextvars),
557,Data Classes,
558,Defined semantics for locals(),
